c/n;f/f;testreg;regi;operator;d/d;type;St
999;18.06.09;F-WWYV;5A-ONF;Afriqiyah AW;11.08.09;330-202;W/O
1000;23.03.09;F-WWYX;HB-JHA;Swiss Int'l AL;15.04.09;330-343E;C
1001;05.03.09;F-WWKL;HL7792;Asiana AL lsd;23.04.09;330-323E;C
1002;06.05.09;F-WWKP;F-WJKL;HSH Nordbank;30.07.09;330-223;
;;;5N-EIA;Arik Air lsd;10.06.10;;
;;EI-ESA;JY-AIG;Royal Jordanian AL lsd;29.07.11;;
;;EI-ESA;VP-BUB;Nordwind AL lsd;24.07.18;;STD
1003;07.04.09;F-WWKR;HS-TEO;Thai AW Int;07.05.09;330-343E;C
1004;05.11.09;F-WWYE;TC-JDO;THY Turkish AL;29.09.10;330-243F;C
1005;14.04.09;F-WWCR;D-AIHZ;Lufthansa;06.05.09;340-642;STD
1006;25.03.09;F-WWYB;9V-STE;Singapore AL lsd;08.04.09;330-343E;
;;;CS-TOV;TAP Air Portugal;22.05.17;;
;;;C-GEGC;Air Canada;23.05.19;;C
1007;10.04.09;F-WWYC;OH-LTN;Finnair lsd;24.04.09;330-302E;C
1008;24.03.09;F-WWYD;CS-TFZ;Hi Fly lsd;28.04.09;330-243;
;;;;Garuda Indonesian AW lsd;20.10.09;;
;;;;Hi Fly ret;01.01.10;;
;;;;Belgium AF lsd;10.03.10;;
;;;;Hi Fly ret;20.04.10;;
;;;;XL AW France slsd;01.07.10;;
;;;;Hi Fly ret;20.12.10;;
;;;;XL AW France slsd;14.08.11;;
;;;;Garuda Indonesian AW slsd;27.09.11;;
;;;;Hi Fly ret;11.12.11;;
;;;;Corsair slsd;28.05.12;;
;;;;Hi Fly ret;19.12.12;;
;;;;Garuda Indonesian AW slsd;05.09.13;;
;;;;National Air Services slsd;24.03.14;;
;;;;Hi Fly ret;21.10.14;;
;;;4R-ALS;Srilankan AL lsd;03.10.18;;C
1009;07.04.09;F-WWYE;N968AV;Avianca lsd;29.04.09;330-243;C
1010;01.04.09;F-WWYF;9V-STF;Singapore AL;29.04.09;330-343E;
;;;OO-SFE;Brussels AL;16.05.18;;C
1011;10.04.09;F-WWYG;N279AY;US AW;02.06.09;330-243;
;;;;American AL;10.12.13;;STD
1012;22.04.09;F-WWKA;9V-STG;Singapore AL lsd;13.05.09;330-343E;
;;;CS-TOW;TAP Air Portugal;27.07.17;;
;;;C-GEGI;Air Canada;11.09.19;;C
1013;30.03.09;F-WWKD;OH-LTO;Finnair lsd;15.05.09;330-302E;STD
1014;19.05.09;F-WWKU;VQ-BBE;Aeroflot lsd;11.06.09;330-243;
;;;LY-PLW;Heston AL;07.12.21;;C
1015;30.04.09;F-WWKV;9V-STH;Singapore AL lsd;28.05.09;330-343E;
;;;CS-TOX;TAP Air Portugal;23.08.17;;
;;;C-GEGP;Air Canada;08.10.19;;C
1016;06.05.09;F-WWYI;N969AV;Avianca lsd;28.05.09;330-243;
;;;G-TCXD;Thomas Cook AL lsd;05.04.19;;
;;OE-IEJ;N819CA;National AL lsd;25.10.19;;C
1017;12.06.09;F-WWCS;EC-KZI;Iberia;29.06.09;340-642;STD
1018;19.05.09;F-WWYJ;HB-JHB;Swiss Int'l AL;10.06.09;330-343E;C
1019;23.03.09;F-WWYK;F-WJKM;HSH Nordbank;31.07.09;330-223;
;;;VN-A378;Vietnam AL lsd;03.07.10;;
;;F-WTBU;;;;;STD
1020;12.06.09;F-WWYL;PK-GPH;Garuda Indonesian AW lsd;29.06.09;330-243;
;;EI-FLG;B-8019;Beijing Capital AL;11.07.15;;C
1021;02.06.09;F-WWYN;F-GOTO;Air Caraibes lsd;18.06.09;330-323E;
;;;EI-GOT;I-Fly lsd;15.06.19;;C
1022;04.06.09;F-WWYP;N280AY;US AW;18.06.09;330-243;
;;;;American AL;10.12.13;;STD
1023;27.04.09;F-WWYQ;OH-LTP;Finnair;18.06.09;330-302E;C
1024;12.08.09;F-WWYS;5A-ONG;Afriqiyah AW;08.09.09;330-202;W/O
1025;12.05.09;F-WWYU;EI-EDY;Aer Lingus;12.06.09;330-302;
;;;G-EIDY;Aer Lingus UK tfd;01.10.21;;C
1026;18.06.09;F-WWYY;HB-JHD;Swiss Int'l AL;26.08.09;330-343E;C
1027;;F-WWTN;;NOT BUILT;;340-642;
1028;26.06.09;F-WWYZ;PK-GPK;Garuda Indonesian AW lsd;21.07.09;330-243;
;;EI-FNL;B-8550;Beijing Capital AL lsd;15.11.16;;C
1029;25.06.09;F-WWKE;HB-JHC;Swiss Int'l AL;29.07.09;330-343E;C
1030;23.07.09;F-WWCX;A6-EHK;Etihad AW;17.08.09;340-642;
;;2-FIXP;9H-PGS;Maleth-Aero;01.03.19;;C
1031;24.11.09;F-WWKF;B-LNC;Hong Kong AL;21.05.10;330-223;C
1032;20.01.10;F-WWKG;A6-DCA;Etihad AW;09.08.10;330-243F;
;;;D-ALMC;DHL Air-EAT;01.10.18;;
;;;EI-HEE;ASL AL Ireland tfd;21.03.20;;
;;;B-LDS;Air Hong Kong tfd;05.01.21;;C
1033;04.06.09;F-WWKJ;EC-335;MTAD;10.07.09;330-243;
;;MRTT016;G-VYGE;Airtanker;01.08.14;;
;;;ZZ334;Royal AF-RAF;13.08.14;;C
1034;15.07.10;F-WWKO;B-6521;Hainan AL lsd;06.08.10;330-223;
;;;B-LNI;Hong Kong AL ret;29.06.11;;C
1035;06.07.09;F-WWKS;HS-TEP;Thai AW Int;29.07.09;330-343E;C
1036;;F-WWKZ;EC-336;MTAD;19.08.09;330-203;
;;MRTT004;A39-004;Royal Australian AF;08.11.11;;C
1037;30.07.09;F-WWYA;HS-TEQ;Thai AW Int;23.12.09;330-343E;C
1038;13.08.09;F-WWYM;A4O-DA;Oman Air lsd;14.09.09;330-243;C
1039;06.11.09;F-WWYO;B-LNE;Hong Kong AL;17.09.10;330-223;C
1040;06.08.09;F-WWCH;A6-EHL;Etihad AW;23.09.09;340-642;
;;;2-EALA;European Aviation;r08.05.18;;
;;9H-PSI;EC-NFQ;Plus Ultra L.A.;21.01.20;;C
1041;20.08.09;F-WWYT;N281AY;US AW lsd;11.09.09;330-243;
;;;;American AL;10.12.13;;STD
1042;27.10.09;F-WWKK;B-LND;Hong Kong AL;12.05.10;330-223;C
1043;07.09.09;F-WWKM;5A-ONH;Afriqiyah AW;01.10.09;330-202;STD
1044;10.09.09;F-WWKA;A4O-DB;Oman Air;01.10.09;330-343;C
1045;03.08.09;F-WWYB;VQ-BBF;Aeroflot lsd;08.09.09;330-243;
;;;LY-TKL;Heston AL;22.10.21;;C
1046;18.08.09;F-WWKH;EC-337;MTAD;07.09.09;330-243;
;;MRTT017;G-VYGA;Airtanker;22.12.11;;
;;;ZZ330;Royal AF;05.04.12;;C
1047;12.08.09;F-WWKD;VQ-BBG;Aeroflot lsd;18.09.09;330-243;
;;;LY-MAC;Heston AL;25.02.22;;C
1048;14.09.09;F-WWKI;9M-XXC;AirAsia X;30.09.09;330-343E;C
1049;02.10.09;F-WWKL;A4O-DC;Oman Air lsd;26.10.09;330-243;C
1050;;;;NOT BUILT;;330-243;
1051;30.06.10;F-WWKU;B-LNZ;Hong Kong AL;03.09.10;330-243F;C
1052;12.10.09;F-WWKQ;PK-GPI;Garuda Indonesian AW lsd;30.10.09;330-243;
;;EI-FLJ;B-8221;Beijing Capital AL lsd;26.11.15;;C
1053;10.09.09;F-WWKR;VP-CAC;Comlux Aviation;19.11.09;330-243CJ;
;;;;Constellation Aviation Services;25.05.12;;C
1054;13.10.10;F-WWYC;B-LNG;Hong Kong AL;28.10.10;330-223;C
1055;10.09.09;F-WWYD;HL7793;Asiana AL lsd;27.10.09;330-323E;C
1056;;;VT-JWR;NOT BUILT;;330-202;
1057;24.09.09;F-WWYF;3B-NBL;Air Mauritius;28.10.09;330-202;
;;N257AQ;;;;;STD
1058;08.10.09;F-WWYX;VQ-BCQ;Aeroflot lsd;29.10.09;330-343E;
;;;HS-XTK;Thai AirAsia X;09.12.19;;
;;VP-BCQ;HL8501;T'Way Air;24.02.22;;C
1059;11.10.10;F-WWKV;B-LNF;Hong Kong AL lsd;18.11.10;330-223;C
1060;19.10.09;F-WWYQ;HS-TER;Thai AW Int;23.12.09;330-343E;C
1061;03.11.09;F-WWKU;VH-EBM;Qantas lsd;23.11.09;330-202;C
1062;11.10.10;F-WWKD;B-LNY;Hong Kong AL;03.11.10;330-243F;C
1063;23.10.09;F-WWYN;A4O-DD;Oman Air;30.11.09;330-343E;C
1064;;;;NOT BUILT;;330-202;
1065;06.11.09;F-WWYJ;VQ-BCU;Aeroflot lsd;30.11.09;330-343E;
;;;HS-XTL;Thai AirAsia X;24.01.20;;
;;VQ-BCU;HL8502;T'Way Air;31.03.22;;C
1066;21.10.09;F-WWYI;9M-XXD;AirAsia X;18.11.09;330-343E;C
1067;26.10.09;F-WWKX;OH-LTR;Finnair lsd;17.12.09;330-302E;C
1068;;;;NOT BUILT;;330-223;
1069;06.11.09;F-WWYG;N282AY;US AW lsd;24.11.09;330-243;
;;;;American AL;10.12.13;;STD
1070;01.09.10;F-WWYF;A6-DCB;Etihad AW;17.09.10;330-243F;
;;;D-ALMD;DHL Air-EAT;06.09.18;;C
;;;EI-HEF;ASL AL Ireland tfd;due20;;
1071;02.12.09;F-WWYP;A6-AFA;Etihad AW;23.12.09;330-343E;STD
1072;19.11.09;F-WWYK;VQ-BCV;Aeroflot lsd;10.12.09;330-343E;
;;;HL8500;T'Way Air;19.05.22;;C
1073;18.11.09;F-WWKZ;N973AV;Avianca slsd;07.12.09;330-243;STD
1074;06.11.09;F-WWKJ;HS-TES;Thai AW Int;23.12.09;330-343E;C
1075;10.11.09;F-WWKS;9M-XXE;AirAsia X;22.12.09;330-343E;C
1076;18.11.09;F-WWKP;N283AY;US AW lsd;07.12.09;330-243;
;;;;American AL;10.12.13;;STD
1077;08.12.09;F-WWKN;VQ-BEK;Aeroflot lsd;19.01.10;330-343E;
;;;F-HJAZ;Corsair lsd;14.02.20;;C
1078;23.11.09;F-WWYU;OH-LTS;Finnair;11.02.10;330-302E;STD
1079;26.01.10;F-WWCE;EC-LEV;Iberia;26.03.10;340-642;STD
1080;10.12.09;F-WWYY;EC-339;MTAD;28.01.10;330-243;
;;MRTT013;1300;United Arab Emirates AF;26.02.12;;C
1081;10.12.09;W-WWYL;A6-AFB;Etihad AL;28.01.10;330-343E;STD
1082;12.01.10;F-WWYZ;B-6518;Sichuan AL lsd;04.02.10;330-243;
;;;TC-NYP;Air Anka Hava Yollari;13.08.22;;C
1083;;;;NOT BUILT;;340-642;
1084;21.12.09;F-WWKE;HB-JHE;Swiss Int'l AL;28.01.10;330-343E;C
1085;17.12.09;F-WWYZ;9V-STI;Singapore AL lsd;05.02.10;330-343E;
;;LZ-AWE;OO-SFX;Brussels AL lsd;24.02.16;;C
1086;18.01.10;F-WWYV;HS-TET;Thai AW Int;29.03.10;330-343E;C
1087;03.02.10;F-WWKD;B-6512;Air China;09.03.10;330-343E;C
1088;17.02.10;F-WWKH;OH-LTT;Finnair;15.04.10;330-302E;C
1089;03.02.10;F-WWKI;HB-JHF;Swiss Int'l AL;16.04.10;330-343E;C
1090;09.02.10;F-WWYB;HS-TEU;Thai AW Int;29.03.10;330-343E;C
1091;11.05.10;F-WWTE;9K-GBA;Kuwait Government;11.06.10;340-542CJ;C
1092;18.05.11;F-WWSK;TC-JDP;THY Turkish AL;22.06.11;330-243F;C
1093;24.02.10;F-WWYM;A4O-DE;Oman Air;23.03.10;330-343E;C
1094;01.02.10;F-WWKM;VH-EBN;Qantas lsd;23.02.10;330-202;C
1095;09.02.10;F-WWYS;N284AY;US AW;24.03.10;330-243;
;;;;American AL;10.12.13;;STD
1096;25.02.10;F-WWYT;B-6135;China Southern AL;31.03.10;330-223;C
1097;19.02.10;F-WWKL;EC-LEQ;Iberworld lsd;16.03.10;330-343E;
;;;;PAL AL slsd;00.12.10;;
;;;;Iberworld ret;07.03.11;;
;;;;Orbest Orizonia AL;01.05.11;;
;;;;Aerolinea Principal Chile slsd;06.01.12;;
;;;;Orbest Orizonia AL;05.03.12;;
;;;;Garuda Indonesian AW lsd;16.09.12;;
;;;;Orbest Orizonia AL ret;30.11.12;;
;;;;Aerolinea Principal Chile slsd;03.01.13;;
;;EI-FBE;EC-LXR;Air Europa lsd;10.06.13;;
;;;;Garuda Indonesian AW slsd;07.09.13;;
;;;;Air Europa ret;18.11.13;;
;;;;PAL AL slsd;11.01.14;;
;;;;Air Europa ret;05.03.14;;
;;;CS-WFP;World2Fly;11.06.21;;C
1098;19.02.10;F-WWKQ;9V-STJ;Singapore AL lsd;10.03.10;330-343E;
;;2-CRRT, PH-IBC;TF-GAY;Wow Air;07.06.16;;
;;OE-IDU;TC-LOL;THY Turkish AL;18.12.19;;
;;OE-LDJ;PK-LDW;Lion Air;10.10.22;;C
1099;11.02.10;F-WWYD;9V-STK;Singapore AL lsd;15.03.10;330-343E;
;;LZ-AWF;B-LNR;Hong Kong AL lsd;08.07.16;;C
1100;01.03.10;F-WWYF;N285AY;US AW;23.03.10;330-243;
;;;;American AL;10.12.13;;STD
1101;24.02.10;F-WWYI;HB-JHG;Swiss Int'l AL;16.06.10;330-343E;C
1102;16.11.10;F-WWTZ;9K-GBB;Kuwait Government;07.12.10;340-542CJ;C
1103;09.03.09;F-WWYR;VQ-BEL;Aeroflot lsd;13.04.10;330-343E;
;;;F-HROK;Corsair International;16.07.20;;C
1104;26.03.10;F-WWYX;N380HA;Hawaiian AL lsd;27.04.10;330-243;C
1105;11.03.10;F-WWKR;9V-STL;Singapore AL lsd;30.04.10;330-343E;
;;LZ-AWG;B-LNS;Hong Kong AL lsd;20.07.16;;C
1106;11.03.10;F-WWYH;EI-ELA;Aer Lingus;07.04.10;330-302E;
;;;G-EILA;Aer Lingus UK tfd;18.09.21;;C
1107;30.03.10;F-WWKP;9V-STM;Singapore AL lsd;16.04.10;330-343E;
;;;B-LNT;Hong Kong AL;14.09.16;;
;;D-AAEE;M-PVGK;DHL Air;24.07.20;;
;;;D-ACVG;DHL Air-EAT;07.05.21;*F;C
1108;01.04.10;F-WWKZ;HZ-AQA;Saudi Arabian AL;10.05.10;330-343E;C
1109;;;;NOT BUILT;;340-642;
1110;07.04.10;F-WWYG;B-6511;Air China;10.05.10;330-343E;C
1111;;;;NOT BUILT;;330-243;
1112;25.03.10;F-WWYJ;PT-MVS;TAM;06.05.10;330-223;
;;OE-IEV;D-ABXF;Air Berlin;19.03.17;;
;;EI-GFM;9M-MTZ;Malaysian AL lsd;10.07.18;;C
1113;;;;NOT BUILT;;340-542;
1114;27.04.10;F-WWYN;N381HA;Hawaiian AL;27.05.10;330-243;C
1115;27.06.11;F-WWKO;B-LNX;Hong Kong AL lsd;13.07.11;330-243F;C
1116;21.04.10;F-WWKJ;B-6515;China Southern AL;11.05.10;330-223;C
1117;;;;NOT BUILT;;330-243;
1118;13.04.10;F-WWKS;PT-MVT;TAM lsd;17.06.10;330-223;
;;;TC-JIZ;THY Turkish AL lsd;14.07.15;;C
1119;;;;NOT BUILT;;330-203;
1120;21.05.10;F-WWYA;A4O-DF;Oman Air;09.06.10;330-243;C
1121;;;;NOT BUILT;;330-343E;
1122;25.06.10;F-WWCF;EC-LFS;Iberia;16.07.10;340-642;STD
1123;06.05.10;F-WWKY;EI-EJG;Alitalia lsd;06.07.10;330-202;
;;;;ITA AW lsd;15.10.21;;C
1124;06.05.10;F-WWYK;9V-STN;Singapore AL lsd;21.05.10;330-343;
;;;B-LNU;Hong Kong AL;03.09.16;;
;;D-AAED;M-EKSL;DHL Air;15.12.20;*F;
;;;B-LDT;Air Hong Kong tfd;10.01.21;;C
1125;;;;NOT BUILT;;330-302;
1126;07.05.10;F-WWYQ;9M-XXF;AirAsia X;12.07.10;330-343E;C
1127;11.05.10;F-WWYP;HZ-AQB;Saudi Arabian AL;28.06.10;330-343E;C
1128;;;;NOT BUILT;;330-223;
1129;02.06.10;F-WWKE;B-6516;China Southern AL;18.06.10;330-223;C
1130;02.06.10;F-WWKN;B-6513;Air China;22.06.10;330-343E;C
1131;27.05.10;F-WWYY;9M-XXG;AirAsia X;24.09.10;330-343E;C
1132;07.06.10;F-WWYL;9V-STO;Singapore AL lsd;25.06.10;330-343;
;;;OO-SFF;Brussels AL lsd;18.07.19;;C
1133;30.06.10;F-WWKA;HL8211;Korean Air;26.07.10;330-223;C
1134;;;;NOT BUILT;;330-223;
1135;01.07.10;F-WWYU;EI-EJH;Alitalia lsd;23.07.10;330-202;
;;;;ITA AW lsd;15.10.21;;C
1136;18.08.11;F-WWYZ;9M-MUA;Malaysian AS Cargo;14.09.11;330-200F;C
1137;23.06.10;F-WWKM;HZ-AQC;Saudi Arabian AL;15.07.10;330-343E;C
1138;01.07.10;F-WWYZ;B-6517;Sichuan AL lsd;23.07.10;330-243;C
1139;;;;NOT BUILT;;330-200;
1140;;;;NOT BUILT;;330-200F;
1141;08.07.10;F-WWKL;HZ-AQD;Saudi Arabian AL;23.08.10;330-343E;C
1142;;;;NOT BUILT;;340-542;
1143;27.07.10;F-WWKQ;SU-GDS;Egyptair;27.08.10;330-343E;C
1144;;;;NOT BUILT;;330-200;
1145;27.07.10;F-WWYD;HB-JHH;Swiss Int'l AL;13.08.10;330-343E;C
1146;20.08.10;F-WWYV;9V-STP;Singapore AL lsd;13.09.10;330-343E;
;;;B-22103;Transasia AW lsd;01.10.15;;
;;OE-IEY;B-LHD;Hong Kong AL ;17.08.17;;
;;EI-HDN;;;;;STD
1147;26.08.10;F-WWYB;HZ-AQE;Saudi Arabian AL;27.09.10;330-343E;C
1148;17.10.11;F-WWYL;9M-MUB;Malaysian AS;14.11.11;330-223F;C
1149;24.08.10;F-WWYH;9V-STQ;Singapore AL lsd;17.09.10;330-343E;
;;;C-GKUG;Air Canada lsd;02.03.20;;C
1150;02.09.10;F-WWYM;TC-JNH;THY Turkish AL;28.09.10;330-343E;C
1151;31.08.10;F-WWYS;HL7794;Asiana AL lsd;27.09.10;330-323E;C
1152;;;;NOT BUILT;;;
1153;07.10.10;F-WWYT;HZ-AQF;Saudi Arabian AL;25.10.10;330-343E;C
1154;;;;NOT BUILT;;330-200;
1155;09.09.10;F-WWKI;HL8212;Korean Air;29.09.10;330-223;C
1156;16.09.10;F-WWKK;9V-STR;Singapore AL lsd;08.10.10;330-343E;
;;;C-GKUH;Air Canada;26.10.19;;C
1157;20.09.10;F-WWYX;9V-STS;Singapore AL lsd;13.10.10;330-343E;
;;;B-22105;Transasia AW lsd;05.11.15;;
;;OE-IEZ;4L-GKL;Air Georgia;04.03.22;;STD
1158;;;;NOT BUILT;;330-200F;
1159;29.09.10;F-WWKF;B-6519;Hainan AL lsd;15.10.10;330-243;C
1160;27.09.10;F-WWKH;TC-JNI;THY Turkish AL;13.10.10;330-343E;C
1161;17.09.10;F-WWKP;PH-AOM;KLM;22.10.10;330-203;
;;;9H-PAX;Airhub Aviation;09.09.22;;C
1162;;;;NOT BUILT;;330-200;
1163;24.09.10;F-WWKR;B-LAJ;Cathay Pacific AW;22.10.10;330-342E;C
1164;19.12.11;F-WWKG;9M-MUC;Malaysian AS;25.01.12;330-223F;
;;;;THY Turkish AL lsd;15.01.13;;
;;;;Malaysian AS ret;12.08.14;;
;;OE-IFJ;TC-JOO;THY Turkish AL;02.10.18;;C
1165;28.09.10;F-WWYG;9M-XXH;AirAsia X;22.11.10;330-343E;
;;;;Air Algerie slsd;21.06.14;;
;;;;AirAsia X ret;13.08.14;;C
;;;VN-A812;VietJet Air;due22;;
1166;;;;NOT BUILT;;330-200F;
1167;29.10.10;F-WWYR;A6-AFC;Etihad AW;10.11.10;330-343E;STD
1168;26.10.10;F-WWYJ;B-6520;Hainan AL lsd;02.12.10;330-343E;C
1169;11.10.10;F-WWKJ;VH-EBO;Qantas lsd;15.11.10;330-202;C
1170;08.11.10;F-WWKZ;TC-JNJ;THY Turkish AL;30.11.10;330-343E;C
1171;25.10.10;F-WWYA;N382HA;Hawaiian AL lsd;10.11.10;330-243;C
1172;16.11.10;F-WWYK;TC-JNK;THY Turkish AL;30.11.10;330-343E;C
1173;10.11.10;F-WWYN;OH-LTU;Finnair;26.11.10;330-302E;C
1174;19.11.10;F-WWKS;VH-EBP;Qantas lsd;14.12.10;330-202;C
1175;08.03.12;F-WWKT;B-5900;Yangtze River Express lsd;15.06.12;330-243F;
;;;B-LNV;Hong Kong AL;26.02.14;;C
1176;;;;NOT BUILT;;330-200;
1177;03.11.10;F-WWYI;B-18355;China AL lsd;19.11.10;330-302;C
1178;24.11.10;F-WWKE;B-6527;Hainan AL lsd;23.01.11;330-343;C
1179;;;;NOT BUILT;;330-200;
1180;27.03.12;F-WWYR;9M-MUD;Malaysian AS;11.04.12;330-223F;C
1181;08.11.10;F-WWKM;HB-JHI;Swiss Int'l AL;16.12.10;330-343E;C
1182;;;;NOT BUILT;;330-200;
1183;22.11.10;F-WWKV;EC-336;MTAD;15.12.10;330-203MRTT;
;;MRTT005;A39-005;Royal Australian AF;30.11.12;;C
1184;26.11.10;F-WWKT;PK-GPL;Garuda Indonesian AW lsd;15.12.10;330-243;C
1185;;;;NOT BUILT;;330-200;
1186;15.12.10;F-WWYL;EC-334;MTAD;14.01.11;330-243;
;;MRTT014;UAF1301;United Arab Emirates AF;29.10.13;;C
1187;21.12.10;F-WWYP;B-6523;Air China;25.01.11;330-343E;C
1188;07.12.10;F-WWYQ;HB-JHJ;Swiss Int'l AL;21.01.11;330-343E;C
1189;10.12.10;F-WWKA;HZ-AQH;Saudi Arabian AL;12.01.11;330-343E;C
1190;23.12.10;F-WWKG;B-6529;Hainan AL lsd;25.01.11;330-343E;C
1191;17.01.11;F-WWKL;ZS-SXZ;South African AW;07.02.11;330-243;
;;N628AC;;;;;STD
1192;04.01.11;F-WWKO;HZ-AQG;Saudi Arabian AL;07.02.11;330-343E;C
1193;18.01.11;F-WWKQ;HB-JHQ;Edelweiss Air lsd;18.02.11;330-343E;
;;;D-AFYQ;Eurowings Discover tfd;12.08.21;;C
1194;;;;NOT BUILT;;330-200;
1195;12.01.11;F-WWKY;G-VSXY;Virgin Atlantic AW;24.02.11;330-343E;C
1196;28.01.11;F-WWYD;B-LAK;Cathay Pacific;25.02.11;330-343E;C
1197;;;;NOT BUILT;;330-200;
1198;03.02.11;F-WWYZ;VH-EBQ;Jetstar AW slsd;25.02.11;330-202;
;;;;Qantas ret;23.01.14;;C
1199;02.02.11;F-WWYU;B-6525;Air China;21.02.11;330-343E;C
1200;25.01.11;F-WWKI;HL8227;Korean Air;14.02.11;330-223;C
1201;20.01.11;F-WWKU;G-VKSS;Virgin Atlantic AW lsd;28.02.11;330-343E;C
1202;02.02.11;F-WWYB;B-6528;China Southern AL;22.02.11;330-223;C
1203;07.02.11;F-WWYE;HL8228;Korean Air;07.03.11;330-223;C
1204;21.01.11;F-WWYF;TC-JNL;THY Turkish AL;30.03.11;330-343E;C
1205;06.05.11;F-WWKN;A6-AFD;Etihad AW;31.05.11;330-343E;STD
1206;18.02.11;F-WWYH;B-18391;China AL lsd;15.03.11;330-343E;
;;;G-VLUV;Virgin Atlantic AW ret;30.11.12;;C
1207;;;;NOT BUILT;;330-200;
1208;14.02.11;F-WWYM;N974AV;Avianca lsd;24.03.11;330-243;
;;;PR-OBS;Avianca Brazil tfd;15.06.18;;
;;;N974AV;Avianca ret;03.03.19;;C
1209;23.02.11;F-WWYO;9M-MTA;Malaysian AS;04.04.11;330-323E;C
1210;02.03.11;F-WWYS;ZS-SXY;South African AW lsd;22.03.11;330-243;
;;N618AC, OE-ISS;EC-NOE;Aura AL;07.10.21;;C
1211;25.02.11;F-WWYV;HL7795;Asiana lsd;23.03.11;330-323E;C
1212;04.03.11;F-WWYY;TC-JNM;THY Turkish AL;24.03.11;330-343E;C
1213;10.03.11;F-WWKF;PT-MVU;TAM;14.04.11;330-223;
;;;TC-JIV;THY Turkish AL lsd;27.04.15;;
;;;VP-BYU;Nordwind AL lsd;07.07.17;;
;;;TC-LOH;THY Turkish AL lsd;06.05.18;;C
1214;18.03.11;F-WWKH;PK-GPM;Garuda Indonesian AW lsd;14.04.11;330-243;C
1215;17.03.11;F-WWKK;B-18392;China AL slsd;11.04.11;330-343E;
;;;G-VGEM;Virgin Atlantic AW ret;30.10.12;;C
1216;14.03.11;F-WWKP;B-6530;Air China;06.04.11;330-343E;C
1217;23.03.11;F-WWKR;N383HA;Hawaiian AL;12.04.11;330-243;C
1218;29.03.11;F-WWYT;EI-EJI;Alitalia lsd;15.04.11;330-202;STD
1219;29.03.11;F-WWXY;9M-MTB;Malaysian AS;04.05.11;330-323E;C
1220;04.04.11;F-WWKD;B-6526;China Southern AL;29.04.11;330-223;C
1221;18.04.11;F-WWKT;PT-MVV;TAM;11.05.11;330-223;
;;;TC-JIY;THY Turkish AL lsd;29.05.15;;
;;;VP-BYV;Nordwind AL lsd;10.07.17;;
;;;TC-LOI;THY Turkish AL lsd;09.05.18;;C
1222;19.04.11;F-WWYC;B-LAL;Cathay Pacific;13.05.11;330-343E;C
1223;01.04.11;F-WWYL;ZS-SXX;South African AW lsd;06.05.11;330-243;
;;N632AC;;;;;STD
1224;27.04.11;F-WWKJ;N975AV;Avianca lsd;19.05.11;330-243;
;;;9H-MRX;HiFly Malta (?);01.03.22;;STD
1225;18.04.11;F-WWKV;EI-EJJ;Alitalia lsd;19.05.11;330-202;STD
1226;30.05.11;F-WWKM;A6-AFE;Etihad AW;29.06.11;330-343E;STD
1227;;F-WWYG;A4O-DG;Oman Air;25.05.11;330-243;C
1228;12.04.11;F-WWKZ;TC-JNN;THY Turkish AL;16.05.11;330-343E;C
1229;26.05.11;F-WWYJ;9M-MTC;Malaysian AS;10.06.11;330-323E;C
1230;31.05.11;F-WWYR;SU-GDT;Egyptair;23.11.11;330-343E;C
1231;06.05.11;F-WWYA;G-VINE;Virgin Atlantic AW lsd;08.07.11;330-343;
;;;N771RD;Ryan Int'l AL lsd;22.11.11;;
;;;G-VINE;Virgin Atlantic AW ret;13.08.12;;C
1232;26.05.11;F-WWYI;VQ-BQX;Aeroflot;23.06.11;330-343E;
;;;RA-73782;Aeroflot rr;12.04.22;;C
1233;13.05.11;F-WWYK;B-6531;China Southern AL;22.06.11;330-223;C
1234;23.05.11;F-WWYN;9M-MTD;Malaysian AS;24.06.11;330-323E;C
1235;24.05.11;F-WWKE;EC-330;MTAD;15.06.11;330-202MRTT;
;;MRTT012;2403;Royal Saudi Air Force;23.01.13;;C
1236;08.06.11;F-WWKA;ZS-SXW;South African AW lsd;01.07.11;330-243;
;;N634AC;YU-ARC;Air Serbia lsd;16.11.22;;C
1237;20.06.11;F-WWKG;B-6533;Air China;12.07.11;330-243;C
1238;31.08.11;F-WWKI;SU-GDU;Egyptair;25.11.11;330-343E;C
1239;08.06.11;F-WWKL;B-LAM;Cathay Pacific AW;29.07.11;330-343E;C
1240;11.07.11;F-WWKQ;TC-TUR;Turkish Government;06.10.11;330-243;C
1241;30.06.11;F-WWYB;B-6535;Sichuan AL lsd;29.07.11;330-243;C
1242;;;;NOT BUILT;;330-200;
1243;20.07.11;F-WWYP;9M-MTE;Malaysian AS;03.08.11;330-323E;C
1244;29.07.11;F-WWYU;B-6532;China Southern AL;29.08.11;330-223;C
1245;28.07.11;F-WWKU;A6-AFF;Etihad AW;22.08.11;330-343E;STD
1246;08.09.11;F-WWKY;SU-GDV;Egyptair;20.12.11;330-343E;C
1247;22.07.11;F-WWYQ;VQ-BQY;Aeroflot;30.08.11;330-343E;
;;;RA-73783;Aeroflot rr;19.04.22;;C
1248;11.08.11;F-WWYE;EC-331;MTAD;25.08.11;330-243;
;;MRTT018;G-VYGB;Airtanker;20.12.12;;
