c/n,f/f,testreg,regi,operator,d/d,type,St
48.0,29.04.10,F-WWAK,D-AIMD,Lufthansa,27.10.10,380-841,STD
49.0,22.02.10,F-WWAL,F-HPJD,Air France,12.08.10,380-861,STD
50.0,28.08.09,F-WWAE,VH-OQH,Qantas lsd,31.01.11,380-842,C
51.0,10.09.09,F-WWAH,9V-SKK,Singapore AL,16.07.10,380-841,C
52.0,10.08.10,F-WWAN,F-HPJE,Air France,17.05.11,380-861,STD
53.0,,,,NOT BUILT,,380-863F,
54.0,12.08.11,F-WWAX,B-6138,China Southern AL,28.02.12,380-841,C
55.0,15.07.10,F-WWAP,VH-OQI,Qantas,13.01.11,380-842,STD
56.0,17.05.10,F-WWAR,A6-EDN,Emirates AL,05.11.10,380-861,C
57.0,11.06.10,F-WWAS,A6-EDO,Emirates AL,30.11.10,380-861,C
58.0,23.07.10,F-WWSI,9V-SKL,Singapore AL,16.06.11,380-841,C
59.0,16.02.11,F-WWAY,HL7613,Korean AL,19.08.11,380-861,C
60.0,,,,NOT BUILT,,380-864F,
61.0,03.08.10,F-WWAV,D-AIME,Lufthansa,15.03.11,380-841,STD
62.0,09.09.10,F-WWAQ,VH-OQJ,Qantas,08.04.11,380-842,C
63.0,01.04.11,F-WWSK,VH-OQK,Qantas,25.11.11,380-842,C
64.0,27.08.10,F-WWAU,F-HPJF,Air France lsd,17.06.11,380-861,STD
65.0,29.09.10,F-WWSM,9V-SKM,Singapore AL,29.09.11,380-841,C
66.0,18.10.10,F-WWSN,D-AIMF,Lufthansa,31.03.11,380-841,STD
67.0,23.09.11,F-WWSQ,F-HPJG,Air France lsd,05.06.12,380-861,STD
68.0,15.03.11,F-WWSJ,HL7614,Korean AL,07.09.11,380-861,C
69.0,22.11.10,F-WWSO,D-AIMG,Lufthansa,04.05.11,380-841,STD
70.0,09.12.10,F-WWSG,D-AIMH,Lufthansa,05.07.11,380-841,STD
71.0,08.11.10,F-WWSX,9V-SKN,Singapore AL,14.09.11,380-841,C
72.0,16.11.11,F-WWSR,D-AIMI,Lufthansa,14.05.12,380-841,STD
73.0,28.11.11,F-WWSP,D-AIMJ,Lufthansa,13.06.12,380-841,STD
74.0,19.04.11,F-WWSL,VH-OQL,Qantas,15.12.11,380-842,STD
75.0,16.05.11,F-WWSS,HL7615,Korean AL,28.11.11,380-861,C
76.0,22.06.11,F-WWSC,9V-SKP,Singapore AL,12.01.12,380-841,C
77.0,18.03.11,F-WWSY,A6-EDP,Emirates AL,14.10.11,380-861,C
78.0,20.10.11,F-WWSU,9M-MNA,Malaysian AL,29.05.12,380-841,STD
79.0,03.10.11,F-WWST,9V-SKQ,Singapore AL,02.04.12,380-841,C
80.0,18.04.11,F-WWSV,A6-EDQ,Emirates AL,28.10.11,380-861,C
81.0,17.01.12,F-WWAJ,9M-MNB,Malaysian AL,27.07.12,380-841,STD
82.0,05.09.11,F-WWSH,9V-SKR,Singapore AL,08.02.12,380-841,C
83.0,31.05.11,F-WWSZ,A6-EDR,Emirates AL,25.11.11,380-861,C
84.0,14.03.12,F-WWAD,9M-MNC,Malaysian AL,26.10.12,380-841,STD
85.0,13.12.11,F-WWAH,9V-SKS,Singapore AL,31.07.12,380-841,C
86.0,17.06.11,F-WWSB,A6-EDS,Emirates AL,16.12.11,380-861,C
87.0,05.03.12,F-WWAO,HS-TUA,Thai AW,26.09.12,380-841,STD
88.0,26.03.12,F-WWAR,B-6139,China Southern AL,13.09.12,380-841,C
89.0,21.05.12,F-WWSO,9M-MND,Malaysian AL,31.10.12,380-841,STD
90.0,11.07.11,F-WWSE,A6-EDT,Emirates AL,02.12.11,380-861,C
91.0,,,VH-OQM,NOT BUILT,,380-861,
92.0,03.02.12,F-WWSA,9V-SKT,Singapore AL,06.09.12,380-841,C
93.0,06.06.12,F-WWAN,HS-TUB,Thai AW,28.11.12,380-841,STD
94.0,12.09.12,F-WWAV,9M-MNE,Malaysian AL,07.02.13,380-841,STD
95.0,09.11.12,F-WWSK,G-XLEA,British AW,03.07.13,380-841,C
96.0,27.06.12,F-WWAP,HL7619,Korean AL,10.12.12,380-861,C
97.0,,,,NOT BUILT,,,
98.0,29.08.11,F-WWAB,A6-EDU,Emirates AL,24.02.12,380-861,C
99.0,18.10.11,F-WWAF,F-HPJH,Air France lsd,02.05.12,380-861,STD
100.0,13.08.12,F-WWAT,HS-TUC,Thai AW,20.12.12,380-841,STD
101.0,28.10.11,F-WWAG,A6-EDV,Emirates AL,30.07.12,380-861,C
102.0,,,VH-OQN,NOT BUILT,,380-861,
103.0,10.01.12,F-WWAL,A6-EDW,Emirates AL,29.08.12,380-861,C
104.0,,,F-HPJI,NOT BUILT,,380-861,
105.0,28.02.12,F-WWAK,A6-EDX,Emirates AL,01.10.12,380-861,C
106.0,05.04.12,F-WWAS,A6-EDY,Emirates AL,01.10.12,380-861,C
107.0,26.04.12,F-WWSD,A6-EDZ,Emirates AL,12.10.12,380-861,C
108.0,23.04.12,F-WWSI,A6-EEA,Emirates AL,19.12.12,380-861,C
109.0,11.05.12,F-WWSN,A6-EEB,Emirates AL,09.11.12,380-861,C
110.0,05.07.12,F-WWAE,A6-EEC,Emirates AL,30.11.12,380-861,C
111.0,19.07.12,F-WWAQ,A6-EED,Emirates AL,28.12.12,380-861,C
112.0,02.08.12,F-WWAU,A6-EEE,Emirates AL,27.12.12,380-861,C
113.0,26.11.12,F-WWSJ,A6-EEF,Emirates AL,06.05.13,380-861,C
114.0,29.10.12,F-WWSG,9M-MNF,Malaysian AL,13.03.13,380-841,STD
115.0,08.03.13,F-WWSL,F-HPJI,Air France,12.09.13,380-861,STD
116.0,14.12.12,F-WWSS,A6-EEG,Emirates AL,08.05.13,380-861,C
117.0,16.01.14,F-WWSV,F-HPJJ,Air France,23.06.14,380-861,STD
118.0,,,D-AIMK,NOT BUILT,,380-841,
119.0,03.01.13,F-WWSY,A6-EEH,Emirates AL,04.06.13,380-861,C
120.0,25.09.12,F-WWSB,B-6140,China Southern AL,28.02.13,380-841,C
121.0,04.02.13,F-WWAY,G-XLEB,British AW,19.09.13,380-841,C
122.0,12.10.12,F-WWSE,HS-TUD,Thai AW,21.03.13,380-841,STD
123.0,17.01.13,F-WWAM,A6-EEI,Emirates AL,17.06.13,380-861,C
124.0,25.03.13,F-WWSQ,G-XLEC,British AW,17.10.13,380-841,C
125.0,18.06.13,F-WWSO,HS-TUE,Thai AW,29.10.13,380-841,STD
126.0,24.01.13,F-WWSZ,HL7621,Korean AL,28.08.13,380-861,C
127.0,23.04.13,F-WWAZ,A6-EEJ,Emirates AL,19.09.13,380-861,C
128.0,20.03.13,F-WWAB,HL7622,Korean AL,25.10.13,380-861,C
129.0,,,F-O,NOT BUILT,,380-861,
130.0,12.02.14,F-WWSD,HL7627,Korean AL,27.06.14,380-861,C
131.0,24.04.13,F-WWSU,HS-TUF,Thai AW,29.11.13,380-841,STD
132.0,22.02.13,F-WWSF,A6-EEK,Emirates AL,29.08.13,380-861,C
133.0,10.04.13,F-WWSH,A6-EEL,Emirates AL,27.11.13,380-861,C
134.0,13.05.13,F-WWSP,A6-EEM,Emirates AL,14.11.13,380-861,C
135.0,22.05.13,F-WWSR,A6-EEN,Emirates AL,27.11.13,380-861,C
136.0,03.06.13,F-WWAX,A6-EEO,Emirates AL,29.10.13,380-861,C
137.0,06.09.13,F-WWST,A7-APA,Qatar AW,15.09.14,380-861,C
138.0,24.06.13,F-WWAF,A6-EEP,Emirates AL,12.12.13,380-861,C
139.0,05.07.13,F-WWSB,A6-EER,Emirates AL,19.12.13,380-861,C
140.0,15.07.13,F-WWAD,A6-EES,Emirates AL,19.12.13,380-861,C
141.0,08.10.13,F-WWAG,A6-EEQ,Emirates AL,14.02.14,380-861,C
142.0,06.11.13,F-WWAH,A6-EET,Emirates AL,27.03.14,380-861,C
143.0,08.11.13,F-WWAJ,A7-APB,Qatar AW,10.11.14,380-861,C
144.0,01.08.13,F-WWAK,G-XLED,British AW,16.01.14,380-841,C
145.0,11.02.14,F-WWAJ,A7-APC,Qatar AW,01.12.14,380-861,C
146.0,14.10.13,F-WWAO,D-AIMK,Lufthansa,28.03.14,380-841,STD
147.0,05.11.13,F-WWAR,A6-EEU,Emirates AL,27.03.14,380-861,C
148.0,09.10.13,F-WWAS,G-XLEE,British AW,06.03.14,380-841,C
149.0,02.12.13,F-WWSX,D-AIML,Lufthansa,05.05.14,380-841,STD
